| name                                               | title                                                 | level | facing   | categories   | description                                                                                                                                                                                                                                                                              | detail                                                                                                                                                                                                                                                                                                                                                          | remediation                                                                                                            | metadata                                                                                                                                                                                                                                       | cache_key                                                                                                                                                                             |
| -------------------------------------------------- | ----------------------------------------------------- | ----- | -------- | ------------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| function_search_path_mutable                       | Function Search Path Mutable                          | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.update_updated_at\` has a role mutable search_path                                                                                                                                                                                                                                                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable                       | {"name":"update_updated_at","type":"function","schema":"public"}                                                                                                                                                                               | function_search_path_mutable_public_update_updated_at_eb89fa8f774be0d9671f03cd552e6860                                                                                                |
| function_search_path_mutable                       | Function Search Path Mutable                          | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.handle_new_user\` has a role mutable search_path                                                                                                                                                                                                                                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable                       | {"name":"handle_new_user","type":"function","schema":"public"}                                                                                                                                                                                 | function_search_path_mutable_public_handle_new_user_03dafb20121d32c113492a4834ade1ef                                                                                                  |
| function_search_path_mutable                       | Function Search Path Mutable                          | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.validate_and_record_transaction\` has a role mutable search_path                                                                                                                                                                                                                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable                       | {"name":"validate_and_record_transaction","type":"function","schema":"public"}                                                                                                                                                                 | function_search_path_mutable_public_validate_and_record_transaction_a83151d901b181a02bc257ed2cb6af8f                                                                                  |
| function_search_path_mutable                       | Function Search Path Mutable                          | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.generate_invite_code\` has a role mutable search_path                                                                                                                                                                                                                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable                       | {"name":"generate_invite_code","type":"function","schema":"public"}                                                                                                                                                                            | function_search_path_mutable_public_generate_invite_code_54a01f867a92d66cec6f09dcea3e3e01                                                                                             |
| function_search_path_mutable                       | Function Search Path Mutable                          | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.consume_daily_withdrawal_limit\` has a role mutable search_path                                                                                                                                                                                                                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable                       | {"name":"consume_daily_withdrawal_limit","type":"function","schema":"public"}                                                                                                                                                                  | function_search_path_mutable_public_consume_daily_withdrawal_limit_cc3a336717b7926fe11ecaf2f3e49c1e                                                                                   |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.admin_messages` has an RLS policy `Anyone can insert admin_messages` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.                                                                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"admin_messages","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"Anyone can insert admin_messages","permissive_using":false,"permissive_with_check":true}             | rls_policy_always_true_public_admin_messages_Anyone can insert admin_messages                                                                                                         |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.admin_messages` has an RLS policy `Anyone can update admin_messages` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                                                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"admin_messages","qual":"true","type":"table","roles":["-"],"schema":"public","command":"UPDATE","with_check":null,"policy_name":"Anyone can update admin_messages","permissive_using":true,"permissive_with_check":true}              | rls_policy_always_true_public_admin_messages_Anyone can update admin_messages                                                                                                         |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.admin_messages` has an RLS policy `public_insert_admin_messages` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.                                                                                                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"admin_messages","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"public_insert_admin_messages","permissive_using":false,"permissive_with_check":true}                 | rls_policy_always_true_public_admin_messages_public_insert_admin_messages                                                                                                             |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.chat_messages` has an RLS policy `chat all access` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for anon, authenticated.                                                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"chat_messages","qual":"true","type":"table","roles":["anon","authenticated"],"schema":"public","command":"ALL","with_check":"true","policy_name":"chat all access","permissive_using":true,"permissive_with_check":true}              | rls_policy_always_true_public_chat_messages_chat all access                                                                                                                           |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.invite_codes` has an RLS policy `invite codes all` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for anon, authenticated.                                                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"invite_codes","qual":"true","type":"table","roles":["anon","authenticated"],"schema":"public","command":"ALL","with_check":"true","policy_name":"invite codes all","permissive_using":true,"permissive_with_check":true}              | rls_policy_always_true_public_invite_codes_invite codes all                                                                                                                           |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.login_attempts` has an RLS policy `Anyone can insert login_attempts` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.                                                                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"login_attempts","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"Anyone can insert login_attempts","permissive_using":false,"permissive_with_check":true}             | rls_policy_always_true_public_login_attempts_Anyone can insert login_attempts                                                                                                         |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.login_attempts` has an RLS policy `Anyone can update login_attempts` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                                                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"login_attempts","qual":"true","type":"table","roles":["-"],"schema":"public","command":"UPDATE","with_check":null,"policy_name":"Anyone can update login_attempts","permissive_using":true,"permissive_with_check":true}              | rls_policy_always_true_public_login_attempts_Anyone can update login_attempts                                                                                                         |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.notifications` has an RLS policy `Anyone can insert notifications` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.                                                                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"notifications","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"Anyone can insert notifications","permissive_using":false,"permissive_with_check":true}               | rls_policy_always_true_public_notifications_Anyone can insert notifications                                                                                                           |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.notifications` has an RLS policy `Anyone can update notifications` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                                                                                                                  | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"notifications","qual":"true","type":"table","roles":["-"],"schema":"public","command":"UPDATE","with_check":null,"policy_name":"Anyone can update notifications","permissive_using":true,"permissive_with_check":true}                | rls_policy_always_true_public_notifications_Anyone can update notifications                                                                                                           |
